Name,Bio,Phone,task_name,task_description,Actual_start_date_time,Actual_end_date_time,Planned_start_date_time,Planned_end_date_time,duration_planned,duration_actual,deadline_days,focus level,consistency level
Eric Davis,"Win lot school use affect.
Activity performance difficult you left. Age throughout building specific thing simple sport. Seat hair themselves police court father share. Teach medical throw myself continue face popular.
Southern my bed place whole very. Act suffer person job enjoy Mrs.",07228894682,Develop Content Calendar,"Plan and schedule content creation for a website, blog, or social media platform",20-03-2020 10:00,20-03-2020 12:00,20-03-2020 9:00,20-03-2020 11:00,2 hours,2 hours,31,85,93
Gerald Melendez,"Member increase because east. Attention ground information stop. Do movement success green several end again.
Theory yeah security word example. Marriage relationship bad room kind fish.",06459322286,Develop User Experience (UX) Strategy,Plan how to create a positive and user-friendly experience for users,20-01-2021 11:00,20-01-2021 13:00,20-01-2021 10:00,20-01-2021 12:00,2 hours,2 hours,31,88,90
Heather Jones,"Him recent fact fire police news size fly. Report miss business occur also action interesting.
Court author economic face environmental. Business method brother benefit. Way language well study able.
Drug ever fill. You also certainly great. Participant many heavy factor plant.",9918476620,Develop Project Plan,"Defined goals, deadlines, and tasks for a specific project",10/7/2020 10:00:00,15-07-2020 18:00,5/7/2020 10:00:00,10/7/2020 18:00:00,40 hours,45 hours,4,88,90
James Johnson,"On simply fear tree look growth might. Catch box five.
Bring deep box society. Institution hair strategy ok. Evening risk system eat. Pressure full who rule camera audience word.
Appear anyone attention attorney. Keep may bring like list already until.",+918851147299,Organize Project Files,"Created folders, labeled files, and categorized project information",20-01-2021 11:00,20-01-2021 13:00,20-01-2021 10:00,20-01-2021 12:00,2 hours,2 hours,31,90,88
Joshua Goodwin,"Age maybe let note. Husband believe difference discover. Trade market least southern along real great.
Start situation test meet husband opportunity. Institution individual hear recognize see town central.",+914585430615,Organize Team Building Activity,Plan and host an activity to improve team morale and collaboration,1/2/2022 9:00:00,5/2/2022 18:00:00,25-01-2022 9:00,1/2/2022 18:00:00,40 hours,45 hours,6,89,89
Joshua Weeks,"Event military wait star personal. Whatever week line fire adult Democrat here.
They order blue use entire television.
Once oil magazine later page agreement. Society media price add reduce. Nice international forget a.
Apply concern reason culture part few. Compare low camera tax ahead hand.",5512058555,Email follow-up,Responded to an email inquiry or sent a follow-up email,15-12-2021 9:00,15-12-2021 17:00,10/12/2021 9:00:00,15-12-2021 16:00,30 hours,32 hours,4,90,88
Joshua White,"Learn about case father idea market son. Newspaper politics pull certainly morning race share.
Generation trouble decide foreign personal. Ten suddenly capital popular.
Sort walk quality fact walk responsibility about prevent. Same reach attention myself. Clearly human but.",7140921394,Develop Marketing Materials,"Create promotional materials, such as brochures, flyers, or presentations",10/1/2023 10:00:00,15-01-2023 18:00,5/1/2023 10:00:00,10/1/2023 18:00:00,40 hours,45 hours,4,90,88
Kevin Smith,"Future travel true none left. Wall well line.
Back religious number treatment.
Safe drop himself.
Today see only she. Town officer get avoid. Worry off indeed involve.
Consumer someone increase man.
May ago husband here wide a dream. Want bed job stop place. Instead inside he similar.",03207463053,Configure Project Management Tool,Set up and customized a project management tool for planning and tracking project progress,1/7/2022 9:00:00,5/7/2022 18:00:00,25-06-2022 9:00,1/7/2022 18:00:00,40 hours,45 hours,6,89,89
Kimberly Santana,"Kid Mr human building deep one. Each fish out top art my. Ever far reveal sister.
Program chance program two discuss. Team day degree home. Bar police thus plan particularly party.
Me wait free relationship. Small she action myself. Order there son.",02789695556,Manage Team Communication,Facilitate information exchange and collaboration among team members,10/1/2023 10:00:00,15-01-2023 18:00,5/1/2023 10:00:00,10/1/2023 18:00:00,40 hours,45 hours,4,89,89
Lauren Wade,"State exactly event bank fly we. Understand provide partner no carry.
Teacher prevent bring exist mother campaign campaign help. Upon start money trip believe professional.
Half degree camera we. Follow security citizen book serious treat. Near recognize room easy foot save.",5030725290,Create Design Mockup,Developed a visual representation of a design concept using design software,15-07-2021 14:00,15-07-2021 17:00,15-07-2021 13:00,15-07-2021 16:00,3 hours,3 hours,31,83,95
Lawrence Hill,"Suddenly above book reflect several cause.
Fine camera kind your. Should these special hair.
Other movie point similar. So wrong serve add fund.
Lead several authority just move determine tree force. From goal race agreement two hundred. Specific analysis condition compare church huge security.",3763074034,Complete Online Training Module,Engaged with interactive training materials online to learn a new skill or update knowledge,20-04-2022 11:00,20-04-2022 13:00,20-04-2022 10:00,20-04-2022 12:00,2 hours,2 hours,31,83,95
Lindsay Powell,"Turn garden top agency. Rest baby sort talk show daughter. Significant its gun instead partner star personal.
Year picture blue generation price court everybody right.
Who really color home size bill. Policy scene where student operation. Magazine south country trouble late least on.",+912800550969,Perform Website Maintenance,"Update content, troubleshoot technical issues, and maintain website performance",5/2/2020 9:00:00,10/2/2020 18:00:00,1/2/2020 9:00:00,5/2/2020 18:00:00,30 hours,35 hours,6,85,93
Lori Lambert,"Film each build what from discover. Quickly require year buy box.
Score memory indicate ago program. Information music including federal. See quality sit wear however.
Always civil check house. Attorney effort arm happy wide. Heart house see know miss.",03137283869,Prepare Presentation,Created and organized slides or materials for a presentation,10/3/2021 8:30:00,12/3/2021 17:30:00,1/3/2021 8:30:00,10/3/2021 17:30:00,40 hours,45 hours,9,83,95
Marie Reilly,"Responsibility positive note until popular traditional spend try. Heart week past majority form.
Six statement expert north. Performance others by central wish.
Performance school method film recent place.
Upon institution strategy work. Offer economy recognize on standard. Both old whole car.",4343695259,Organize Team Building Activity,Plan and host an activity to improve team morale and collaboration,10/6/2022 8:30:00,12/6/2022 17:30:00,1/6/2022 8:30:00,10/6/2022 17:30:00,40 hours,45 hours,9,87,91
Michael Gonzales,"Resource my firm cold true. Newspaper event sometimes somebody allow what fear.
Doctor agreement measure possible unit.
Politics respond last development. Safe police decade part answer key.
Strategy year later not hot. Thousand event field a. Laugh agree investment side alone trade price.",0496528914,Prepare Travel Itinerary,"Researched and booked flights, hotels, and transportation for a business trip",20-04-2022 11:00,20-04-2022 13:00,20-04-2022 10:00,20-04-2022 12:00,2 hours,2 hours,31,90,88
Natalie Gates,"Should when bring culture main class education. Baby receive black majority. Stay describe stock foreign really movie born.
Claim exist front quite agree add minute. Dream region away word kind. Article real recent drug.",04905939180,Develop User Interface (UI) Mockup,Design a visual representation of the interface for a software application or website,1/2/2022 9:00:00,5/2/2022 18:00:00,25-01-2022 9:00,1/2/2022 18:00:00,40 hours,45 hours,6,87,91
Paul Barnes,"Degree born mind try story. Quite event state. Grow low good approach movement audience thus.
My sort raise build season. Now rate pressure then put cup free. Computer before amount why under.
Process your open. Scientist beautiful light out right campaign.",03015133021,Conduct User Interviews,"Interviewed users to gather feedback on a product, service, or process",10/1/2023 10:00:00,15-01-2023 18:00,5/1/2023 10:00:00,10/1/2023 18:00:00,40 hours,45 hours,4,83,95
Sabrina Mack,"Reach wrong ready television understand gun. Defense speak forward give Mr hot.
Last lose boy case free beat herself issue.
White cultural measure game. Nearly air tree ball seat. Government nor compare claim use.
Dark key garden result green. Fine work small purpose some.",9502751957,Complete Online Training Module,Engaged with interactive training materials online to learn a new skill or update knowledge,1/12/2022 9:00:00,5/12/2022 18:00:00,25-11-2022 9:00,1/12/2022 18:00:00,40 hours,45 hours,6,83,95
Stephanie Contreras,"Better garden budget gun image. Enter hit exactly child fight improve serious. Still good soldier structure language we home likely.
Test benefit carry fast make. Executive along team whose. Including black return where. Choice bad either kid write.",02171806469,Organize Team Building Activity,Plan and host an activity to improve team morale and collaboration,1/9/2021 9:00:00,5/9/2021 18:00:00,25-08-2021 9:00,1/9/2021 18:00:00,40 hours,45 hours,6,87,91
Stephanie Norton,"Share his federal face.
Camera reflect garden trial occur. Building window hear message remember month my.
Move better firm thought American radio only produce. Standard news adult weight too. Pull true involve form key.",7108742429,Prepare Expense Report,Document and submit a report for business-related expenses,15-09-2020 9:00,15-09-2020 17:00,10/9/2020 9:00:00,15-09-2020 16:00,30 hours,32 hours,4,85,93
Andrea Roberts,"Western writer stand sure health alone mouth product. Yet seat speech form cost every page. Technology red special town.
A her remain factor dog physical. Stage seem rather tree wear language red. Policy Mr commercial room.",+910695354578,Update Calendar,"Scheduled meetings, appointments, and deadlines in a calendar application",10/12/2020 10:00:00,15-12-2020 18:00,5/12/2020 10:00:00,10/12/2020 18:00:00,40 hours,45 hours,4,85,92
Craig Suarez,"Indeed save stop see sign loss. Painting seek unit enter green buy.
Police work audience husband space bank group boy. Board strong difference prevent. That score particularly many same.
Career company then provide price expect. Talk foreign until even game production.",+915938281550,Prepare Budget Proposal,Created a detailed financial plan outlining costs and expenses for a project,10/3/2022 10:00:00,15-03-2022 18:00,5/3/2022 10:00:00,10/3/2022 18:00:00,40 hours,45 hours,4,82,95
